Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57945	Pseudomonas aeruginosa PAO1	15596857	PA1660	NP_250351.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049609	PA14_43000	WP_003087605.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596858	PA1661	NP_250352.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049610	PA14_42990	WP_003140086.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596859	PA1662	NP_250353.1	ClpA/B-type protease	57977	Pseudomonas aeruginosa UCBPP-PA14	116049611	PA14_42980	WP_016254156.1	putative ClpA/B-type protease				
rbb	57945	Pseudomonas aeruginosa PAO1	15596860	PA1663	NP_250354.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116049612	PA14_42970	WP_003140081.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15596861	PA1664	NP_250355.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049613	PA14_42960	WP_003087614.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596862	PA1665	NP_250356.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049614	PA14_42950	WP_003140079.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596863	PA1666	NP_250357.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049615	PA14_42940	WP_003110438.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596864	PA1667	NP_250358.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049616	PA14_42920	WP_003087620.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596865	PA1668	NP_250359.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049617	PA14_42910	WP_003120354.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596866	PA1669	NP_250360.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049618	PA14_42900	WP_003140078.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596867	PA1670	NP_250361.1	serine/threonine phosphoprotein phosphatase Stp1	57977	Pseudomonas aeruginosa UCBPP-PA14	116049619	PA14_42890	WP_003110437.1	serine/threonine phosphoprotein phosphatase Stp1				
rbb	57945	Pseudomonas aeruginosa PAO1	15596868	PA1671	NP_250362.1	serine-threonine kinase Stk1	57977	Pseudomonas aeruginosa UCBPP-PA14	116049620	PA14_42880	WP_003140077.1	serine-threonine kinase Stk1				
rbb	57945	Pseudomonas aeruginosa PAO1	15596869	PA1672	NP_250363.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049621	PA14_42870	WP_003110435.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596870	PA1673	NP_250364.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049622	PA14_42860	WP_003087637.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596871	PA1674	NP_250365.1	GTP cyclohydrolase I	57977	Pseudomonas aeruginosa UCBPP-PA14	116049623	PA14_42850	WP_003087639.1	GTP cyclohydrolase I				
rbb	57945	Pseudomonas aeruginosa PAO1	15596872	PA1675	NP_250366.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049624	PA14_42840	WP_003140076.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596873	PA1676	NP_250367.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049625	PA14_42830	WP_003140075.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596874	PA1677	NP_250368.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049626	PA14_42820	WP_003140074.1	isochorismatase family hydrolase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596875	PA1678	NP_250369.1	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049627	PA14_42790	WP_003087648.1	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596876	PA1679	NP_250370.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049628	PA14_42780	WP_003087649.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596877	PA1680	NP_250371.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049629	PA14_42770	WP_003140073.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596878	PA1681	NP_250372.1	chorismate synthase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049630	PA14_42760	WP_003087653.1	chorismate synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596879	PA1682	NP_250373.1	MFS metabolite transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116049631	PA14_42750	WP_003140070.1	putative MFS metabolite transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15596880	PA1683	NP_250374.1	methylthioribulose-1-phosphate dehydratase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049632	PA14_42740	WP_003110430.1	methylthioribulose-1-phosphate dehydratase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596881	PA1684	NP_250375.1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049633	PA14_42730	WP_003087656.1	putative oxidase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596882	PA1685	NP_250376.1	enolase-phosphatase E-1	57977	Pseudomonas aeruginosa UCBPP-PA14	116049634	PA14_42720	WP_003087657.1	enolase-phosphatase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596883	PA1686	NP_250377.1	DNA-3-methyladenine glycosidase II	57977	Pseudomonas aeruginosa UCBPP-PA14	116049636	PA14_42700	WP_003087659.1	DNA-3-methyladenine glycosidase II				
rbb	57945	Pseudomonas aeruginosa PAO1	15596884	PA1687	NP_250378.1	spermidine synthase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049637	PA14_42690	WP_003103196.1	spermidine synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596885	PA1688	NP_250379.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049638	PA14_42680	WP_003140065.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596886	PA1689	NP_250380.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049639	PA14_42670	WP_003140063.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596887	PA1690	NP_250381.1	translocation protein in type III secretion	57977	Pseudomonas aeruginosa UCBPP-PA14	116049640	PA14_42660	WP_003087668.1	translocation protein in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596888	PA1691	NP_250382.1	translocation protein in type III secretion	57977	Pseudomonas aeruginosa UCBPP-PA14	116049641	PA14_42640	WP_003132884.1	translocation protein in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596889	PA1692	NP_250383.1	translocation protein in type III secretion	57977	Pseudomonas aeruginosa UCBPP-PA14	116049642	PA14_42630	WP_003087672.1	putative translocation protein in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596890	PA1693	NP_250384.1	type III secretion system protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049643	PA14_42620	WP_003087674.1	type III secretion system protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596891	PA1694	NP_250385.1	type III secretion system protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049644	PA14_42610	WP_003140061.1	type III secretion system protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596892	PA1695	NP_250386.1	translocation protein in type III secretion	57977	Pseudomonas aeruginosa UCBPP-PA14	116049645	PA14_42600	WP_009314673.1	translocation protein in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596893	PA1696	NP_250387.1	translocation protein in type III secretion	57977	Pseudomonas aeruginosa UCBPP-PA14	116049646	PA14_42580	WP_003140046.1	translocation protein in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596894	PA1697	NP_250388.1	type III secretion system ATPase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049647	PA14_42570	WP_003100796.1	type III secretion system ATPase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596895	PA1698	NP_250389.1	type III secretion outer membrane protein PopN precursor	57977	Pseudomonas aeruginosa UCBPP-PA14	116049648	PA14_42550	WP_003087692.1	Type III secretion outer membrane protein PopN precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15596896	PA1699	NP_250390.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049649	PA14_42540	WP_003087693.1	putative protein in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596897	PA1700	NP_250391.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049650	PA14_42530	WP_003087694.1	putative type III secretion protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596898	PA1701	NP_250392.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049651	PA14_42520	WP_003140044.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596899	PA1702	NP_250393.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049652	PA14_42510	WP_003113547.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596900	PA1703	NP_250394.1	type III secretory apparatus protein PcrD	57977	Pseudomonas aeruginosa UCBPP-PA14	116049653	PA14_42500	WP_003087696.1	type III secretory apparatus protein PcrD				
rbb	57945	Pseudomonas aeruginosa PAO1	15596901	PA1704	NP_250395.1	transcriptional regulator protein PcrR	57977	Pseudomonas aeruginosa UCBPP-PA14	116049654	PA14_42490	WP_003100791.1	transcriptional regulator protein PcrR				
rbb	57945	Pseudomonas aeruginosa PAO1	15596902	PA1705	NP_250396.1	regulator in type III secretion	57977	Pseudomonas aeruginosa UCBPP-PA14	116049655	PA14_42480	WP_025999482.1	regulator in type III secretion				
rbb	57945	Pseudomonas aeruginosa PAO1	15596903	PA1706	NP_250397.1	type III secretion protein PcrV	57977	Pseudomonas aeruginosa UCBPP-PA14	116049656	PA14_42470	WP_003109502.1	type III secretion protein PcrV				
rbb	57945	Pseudomonas aeruginosa PAO1	15596904	PA1707	NP_250398.1	regulatory protein PcrH	57977	Pseudomonas aeruginosa UCBPP-PA14	116049657	PA14_42460	WP_003087708.1	regulatory protein PcrH				
rbb	57945	Pseudomonas aeruginosa PAO1	15596905	PA1708	NP_250399.1	translocator protein PopB	57977	Pseudomonas aeruginosa UCBPP-PA14	116049658	PA14_42450	WP_003087710.1	translocator protein PopB				
rbb	57945	Pseudomonas aeruginosa PAO1	15596906	PA1709	NP_250400.1	translocator outer membrane protein PopD precursor	57977	Pseudomonas aeruginosa UCBPP-PA14	116049659	PA14_42440	WP_003109504.1	translocator outer membrane protein PopD precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15596907	PA1710	NP_250401.1	ExsC, exoenzyme S synthesis protein C precursor	57977	Pseudomonas aeruginosa UCBPP-PA14	116049660	PA14_42430	WP_003109505.1	exoenzyme S synthesis protein C precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15596908	PA1711	NP_250402.1	ExsE	57977	Pseudomonas aeruginosa UCBPP-PA14	116049661	PA14_42410	WP_003109506.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596909	PA1712	NP_250403.1	exoenzyme S synthesis protein B	57977	Pseudomonas aeruginosa UCBPP-PA14	116049662	PA14_42400	WP_003117721.1	exoenzyme S synthesis protein B				
rbb	57945	Pseudomonas aeruginosa PAO1	15596910	PA1713	NP_250404.1	transcriptional regulator ExsA	57977	Pseudomonas aeruginosa UCBPP-PA14	116049663	PA14_42390	WP_003120334.1	transcriptional regulator ExsA				
rbb	57945	Pseudomonas aeruginosa PAO1	15596911	PA1714	NP_250405.1	ExsD	57977	Pseudomonas aeruginosa UCBPP-PA14	116049664	PA14_42380	WP_003109509.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596912	PA1715	NP_250406.1	type III export apparatus protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049665	PA14_42360	WP_003109510.1	type III export apparatus protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596913	PA1716	NP_250407.1	type III secretion outer membrane protein PscC precursor	57977	Pseudomonas aeruginosa UCBPP-PA14	116049666	PA14_42350	WP_003140040.1	Type III secretion outer membrane protein PscC precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15596914	PA1717	NP_250408.1	type III export protein PscD	57977	Pseudomonas aeruginosa UCBPP-PA14	116049667	PA14_42340	WP_003132859.1	type III export protein PscD				
rbb	57945	Pseudomonas aeruginosa PAO1	15596915	PA1718	NP_250409.1	type III export protein PscE	57977	Pseudomonas aeruginosa UCBPP-PA14	116049668	PA14_42320	WP_003100751.1	type III export protein PscE				
rbb	57945	Pseudomonas aeruginosa PAO1	15596916	PA1719	NP_250410.1	type III export protein PscF	57977	Pseudomonas aeruginosa UCBPP-PA14	116049669	PA14_42310	WP_003087729.1	type III export protein PscF				
rbb	57945	Pseudomonas aeruginosa PAO1	15596917	PA1720	NP_250411.1	type III export protein PscG	57977	Pseudomonas aeruginosa UCBPP-PA14	116049670	PA14_42300	WP_003140037.1	type III export protein PscG				
rbb	57945	Pseudomonas aeruginosa PAO1	15596918	PA1721	NP_250412.1	type III export protein PscH	57977	Pseudomonas aeruginosa UCBPP-PA14	116049671	PA14_42290	WP_003100725.1	type III export protein PscH				
rbb	57945	Pseudomonas aeruginosa PAO1	15596919	PA1722	NP_250413.1	type III export protein PscI	57977	Pseudomonas aeruginosa UCBPP-PA14	116049672	PA14_42280	WP_003120330.1	type III export protein PscI				
rbb	57945	Pseudomonas aeruginosa PAO1	15596920	PA1723	NP_250414.1	type III export protein PscJ	57977	Pseudomonas aeruginosa UCBPP-PA14	116049673	PA14_42270	WP_003120329.1	pscJ type III export protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596921	PA1724	NP_250415.1	type III export protein PscK	57977	Pseudomonas aeruginosa UCBPP-PA14	116049674	PA14_42260	WP_003087734.1	PscK type III export protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596922	PA1725	NP_250416.1	type III secretion system protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049675	PA14_42250	WP_003087735.1	type III secretion system protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596923	PA1726	NP_250417.1	periplasmic beta-glucosidase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049676	PA14_42230	WP_003087736.1	periplasmic beta-glucosidase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596924	PA1727	NP_250418.1	MucR	57977	Pseudomonas aeruginosa UCBPP-PA14	116049677	PA14_42220	WP_011666707.1	membrane sensor domain-containing protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596925	PA1728	NP_250419.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049678	PA14_42200	WP_003087738.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596926	PA1729	NP_250420.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049679	PA14_42180	WP_003087739.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596927	PA1730	NP_250421.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049680	PA14_42160	WP_003087741.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596928	PA1731	NP_250422.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049681	PA14_42150	WP_003087742.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596929	PA1732	NP_250423.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049682	PA14_42140	WP_003087743.1	transglutaminase-like domain-containing protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596930	PA1733	NP_250424.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049683	PA14_42130	WP_003100716.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596931	PA1734	NP_250425.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049684	PA14_42120	WP_003109519.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596932	PA1735	NP_250426.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049685	PA14_42100	WP_003087746.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596933	PA1736	NP_250427.1	acetyl-CoA acetyltransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049686	PA14_42090	WP_003087747.1	acetyl-CoA acetyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596934	PA1737	NP_250428.1	3-hydroxyacyl-CoA dehydrogenase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049687	PA14_42080	WP_003140029.1	putative 3-hydroxyacyl-CoA dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596935	PA1738	NP_250429.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116049688	PA14_42060	WP_003087749.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15596936	PA1739	NP_250430.1	oxidoreductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049689	PA14_42050	WP_003140026.1	putative oxidoreductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596937	PA1740	NP_250431.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049690	PA14_42030	WP_003140024.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596938	PA1741	NP_250432.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049691	PA14_42020	WP_003087752.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596939	PA1742	NP_250433.1	amidotransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049692	PA14_42010	WP_003087753.1	amidotransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596940	PA1743	NP_250434.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049693	PA14_42000	WP_003087754.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596941	PA1744	NP_250435.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049694	PA14_41990	WP_003098091.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596942	PA1745	NP_250436.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049695	PA14_41980	WP_003087756.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596943	PA1746	NP_250437.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049696	PA14_41970	WP_003087757.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596944	PA1747	NP_250438.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049697	PA14_41960	WP_003087758.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596945	PA1748	NP_250439.1	enoyl-CoA hydratase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049698	PA14_41950	WP_003087759.1	enoyl-CoA hydratase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596946	PA1749	NP_250440.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049699	PA14_41930	WP_003087762.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596947	PA1750	NP_250441.1	phospho-2-dehydro-3-deoxyheptonate aldolase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049700	PA14_41920	WP_003087765.1	phospho-2-dehydro-3-deoxyheptonate aldolase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596948	PA1751	NP_250442.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049701	PA14_41910	WP_016254157.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596949	PA1752	NP_250443.1	2-dehydropantoate 2-reductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049702	PA14_41900	WP_003140019.1	2-dehydropantoate 2-reductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596950	PA1753	NP_250444.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049703	PA14_41880	WP_003087770.1	universal stress protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596951	PA1754	NP_250445.1	transcriptional regulator CysB	57977	Pseudomonas aeruginosa UCBPP-PA14	116049704	PA14_41870	WP_003087775.1	transcriptional regulator CysB				
rbb	57945	Pseudomonas aeruginosa PAO1	15596952	PA1755	NP_250446.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049705	PA14_41860	WP_003140016.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596953	PA1756	NP_250447.1	phosphoadenosine phosphosulfate reductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049706	PA14_41840	WP_003087779.1	phosphoadenosine phosphosulfate reductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596954	PA1757	NP_250448.1	phosphoserine phosphatase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049707	PA14_41830	WP_003140014.1	phosphoserine phosphatase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596955	PA1758	NP_250449.1	para-aminobenzoate synthase component I	57977	Pseudomonas aeruginosa UCBPP-PA14	116049708	PA14_41820	WP_003140013.1	para-aminobenzoate synthase component I				
rbb	57945	Pseudomonas aeruginosa PAO1	15596956	PA1759	NP_250450.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116049709	PA14_41810	WP_033862763.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15596957	PA1760	NP_250451.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116049710	PA14_41800	WP_004355294.1	putative transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15596958	PA1761	NP_250452.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049711	PA14_41790	WP_003098074.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596959	PA1762	NP_250453.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049712	PA14_41780	WP_003098072.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596960	PA1763	NP_250454.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049713	PA14_41760	WP_003120313.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596961	PA1764	NP_250455.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049714	PA14_41750	WP_031627939.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596962	PA1765	NP_250456.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049715	PA14_41740	WP_003132833.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596963	PA1766	NP_250457.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049716	PA14_41730	WP_003087807.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596964	PA1767	NP_250458.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049717	PA14_41710	WP_003087809.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596965	PA1768	NP_250459.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049718	PA14_41690	WP_003087811.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596966	PA1769	NP_250460.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049719	PA14_41680	WP_003087813.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596967	PA1770	NP_250461.1	phosphoenolpyruvate synthase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049720	PA14_41670	WP_003098065.1	phosphoenolpyruvate synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596968	PA1771	NP_250462.1	EstX	57977	Pseudomonas aeruginosa UCBPP-PA14	116049721	PA14_41650	WP_003087820.1	putative esterase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596969	PA1772	NP_250463.1	ribonuclease activity regulator protein RraA	57977	Pseudomonas aeruginosa UCBPP-PA14	116049722	PA14_41640	WP_003087823.1	ribonuclease activity regulator protein RraA				
rbb	57945	Pseudomonas aeruginosa PAO1	15596970	PA1773	NP_250464.1	CmaX protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049723	PA14_41630	WP_003098062.1	putative cytoplasmic membrane-associated protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596971	PA1774	NP_250465.1	CrfX protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049724	PA14_41610	WP_003087828.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596972	PA1775	NP_250466.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116049725	PA14_41590	WP_003087830.1	putative cytoplasmic membrane protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15596973	PA1776	NP_250467.1	RNA polymerase sigma factor SigX	57977	Pseudomonas aeruginosa UCBPP-PA14	116054443	PA14_41575	WP_003098059.1	RNA polymerase sigma factor SigX				
rbb	57945	Pseudomonas aeruginosa PAO1	15596974	PA1777	NP_250468.1	porin	57977	Pseudomonas aeruginosa UCBPP-PA14	116049726	PA14_41570	WP_003087843.1	major porin and structural outer membrane porin OprF precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15596975	PA1778	NP_250469.1	uroporphyrin-III C-methyltransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116054408	PA14_41563	WP_011666705.1	uroporphyrin-III C-methyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596976	PA1779	NP_250470.1	assimilatory nitrate reductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049727	PA14_41560	WP_003139955.1	assimilatory nitrate reductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15596977	PA1780	NP_250471.1	assimilatory nitrite reductase small subunit	57977	Pseudomonas aeruginosa UCBPP-PA14	116049728	PA14_41540	WP_003139953.1	assimilatory nitrite reductase small subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15596978	PA1781	NP_250472.1	assimilatory nitrite reductase large subunit	57977	Pseudomonas aeruginosa UCBPP-PA14	116049729	PA14_41530	WP_003139951.1	assimilatory nitrite reductase large subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15596979	PA1782	NP_250473.1	serine/threonine-protein kinase	57977	Pseudomonas aeruginosa UCBPP-PA14	116049730	PA14_41520	WP_003139949.1	putative serine/threonine-protein kinase				
